feature,mutual_information
SSLfinal_State,0.34829053154684964
URL_of_Anchor,0.32951179972417793
Prefix_Suffix,0.08448121170401784
web_traffic,0.0778367603905673
having_Sub_Domain,0.07652064497430144
Request_URL,0.032352372435417415
Links_in_tags,0.0314281067709834
SFH,0.02772897342433922
Domain_registeration_length,0.025479664364705584
Google_Index,0.007345121558730627
age_of_domain,0.00705929596746202
Page_Rank,0.005986233059321944
having_IP_Address,0.004655717853695784
URL_Length,0.003498651140678072
Links_pointing_to_page,0.003024909424889699
DNSRecord,0.0027632897718726235
Statistical_report,0.0024075194298266434
Shortining_Service,0.0018863732645714726
Abnormal_URL,0.0018328383391459369
having_At_Symbol,0.0012023373387443914
double_slash_redirecting,0.0006670879656999196
HTTPS_token,0.000649015673833131
Favicon,0.00020953306651766423
on_mouseover,0.00018008756709497753
port,0.0001780251069502803
popUpWidnow,0.00017069781314985044
Iframe,0.00013690777414937516
Redirect,0.00010232625303743803
RightClick,1.4317608313732522e-05
Submitting_to_email,1.1734850570488398e-05
